Begin time,End time,Eclipse type,Greatest eclipse time,EARTH_Position_X,EARTH_Position_Y,EARTH_Position_Z,EARTH_Velocity_X,EARTH_Velocity_Y,EARTH_Velocity_Z,MOON_Position_X,MOON_Position_Y,MOON_Position_Z,MOON_Velocity_X,MOON_Velocity_Y,MOON_Velocity_Z,SUN_Position_X,SUN_Position_Y,SUN_Position_Z,SUN_Velocity_X,SUN_Velocity_Y,SUN_Velocity_Z,JUPITER_Position_X,JUPITER_Position_Y,JUPITER_Position_Z,JUPITER_Velocity_X,JUPITER_Velocity_Y,JUPITER_Velocity_Z
2025 MAR 29 08:51:28,2025 MAR 29 12:44:30,Partial,2025 MAR 29 08:51:28,-147703115.72364256,-22252791.135082398,2092.831997300498,3.956088184779772,-29.580753198910564,0.0005060903649649617,-147347266.29146567,-22207045.925264128,7990.414542569779,3.7964729423836707,-28.499497763438626,0.09950143584031501,0.0,0.0,0.0,0.0,0.0,0.0,59194528.515434876,762442298.3554224,-4491521.577717245,-13.190292013627158,1.62566742199474,0.2883260021722365
2025 SEP 21 17:30:37,2025 SEP 21 21:54:41,Partial,2025 SEP 21 17:30:37,150140710.4443733,-3580926.1045370167,-520.3446502215229,0.22789045894214935,29.680307067531018,-0.0006650343848662033,149744324.87991005,-3563579.937195008,-6548.435986645985,0.15027920129998149,28.69164204938011,-0.09132487279447332,0.0,0.0,0.0,0.0,0.0,0.0,-141539781.75441727,761120628.0536585,5079.186280012131,-13.010135576985222,-1.7782438474145337,0.29844126814550387
2026 FEB 17 09:56:50,2026 FEB 17 14:28:15,Annular,2026 FEB 17 09:56:50,-125884639.07179102,77504033.47059864,-3863.2566087134182,-16.107802267280245,-25.488897546072934,0.0004828032089836398,-125560759.42221852,77296314.22096923,-10777.760431714356,-15.592916525112399,-24.60519995374893,0.09366839662663118,0.0,0.0,0.0,0.0,0.0,0.0,-304073974.9350323,720727605.6388694,3809293.978544235,-12.201730454902668,-4.4717298909682714,0.2915637983853663
2026 AUG 12 15:34:38,2026 AUG 12 19:58:28,Total,2026 AUG 12 16:58:10,115410659.67778166,-98282625.54014483,5136.787061341107,18.839499669324653,22.57725782102472,-0.000296737210593534,115136350.59298974,-98039372.2038105,11569.746721051633,18.1012040282464,21.801320410895688,-0.09656039830008645,0.0,0.0,0.0,0.0,0.0,0.0,-478288440.82515216,630556540.268264,8081712.677718043,-10.569847419603132,-7.292210124865642,0.266825273563259
2027 FEB 06 12:58:22,2027 FEB 06 19:02:18,Annular,2027 FEB 06 12:58:22,-108110530.9804441,100371996.76719674,-5661.767499290407,-20.760825741316875,-21.95211310811544,0.00039435994051473244,-107821829.45907056,100090892.95241076,-8496.880912996829,-20.095773026225967,-21.237093626640696,0.09066854815522607,0.0,0.0,0.0,0.0,0.0,0.0,-624185614.4843687,499990878.59282327,11888390.912857115,-8.327162010489463,-9.598361076167887,0.2261226503844238
2027 AUG 02 07:30:49,2027 AUG 02 12:43:39,Total,2027 AUG 02 08:24:04,96435155.58938201,-117272377.90208286,6874.342301420867,22.53430437402165,18.81680425812649,-8.439262453929786e-05,96215639.67879051,-116990388.93684132,8707.0533843562,21.667929831505283,18.144345769746202,-0.10152096735670568,0.0,0.0,0.0,0.0,0.0,0.0,-731468545.6364686,339944114.6816626,14953676.165744796,-5.66507804541697,-11.250107050406761,0.1733926738599676
2028 JAN 26 12:07:37,2028 JAN 26 18:09:33,Annular,2028 JAN 26 12:07:37,-85872165.68264863,119669477.2106415,-7173.397614553571,-24.696898223898376,-17.48589722742053,0.00017498443907992822,-85644241.46444012,119334881.4217552,-5657.2244770005345,-23.88508290159195,-16.951700476997946,0.09018723143531471,0.0,0.0,0.0,0.0,0.0,0.0,-795888345.3802134,159439609.1077308,17144956.145839028,-2.721540278213233,-12.21202019037738,0.11164605542779871
2028 JUL 22 00:28:19,2028 JUL 22 05:23:46,Total,2028 JUL 22 01:31:26,74490781.70817874,-132490728.44221379,8286.669517062604,25.492409528038124,14.494824573103333,0.00010000706995061392,74320311.03114861,-132168548.4429062,5303.149769552052,24.557644467890487,13.96024699393637,-0.09868105091727664,0.0,0.0,0.0,0.0,0.0,0.0,-814196868.4437671,-30679876.62125024,18344554.21079044,0.3410175466103808,-12.45737688181745,0.044238491183212325
2029 JAN 14 15:02:50,2029 JAN 14 19:23:54,Partial,2029 JAN 14 15:02:50,-60636297.76733959,134081340.64413702,-8619.14600738138,-27.638053853321296,-12.390005158267195,-0.00014977366040369589,-60483269.827692926,133723681.58801582,-2635.894792199135,-26.692431498673862,-12.030068974151936,0.09246719708430096,0.0,0.0,0.0,0.0,0.0,0.0,-785963455.80653,-218109349.31202286,18491721.10990154,3.3430323440089054,-11.993175628051814,-0.024990657907308034
2029 JUN 12 02:26:55,2029 JUN 12 05:44:28,Partial,2029 JUN 12 02:26:55,-23714680.861642778,-150052243.14560366,10138.086549289525,28.950722265507178,-4.7631813851808475,0.0012606080597425962,-23648598.330011163,-149664013.2345295,18838.034380957484,27.960269660608553,-4.632781896375268,-0.08885549137801818,0.0,0.0,0.0,0.0,0.0,0.0,-727598399.4182543,-366534444.0759874,17802696.711587414,5.727214321055796,-11.071272302045157,-0.08219315721623044
2029 JUL 11 14:28:23,2029 JUL 11 16:45:07,Partial,2029 JUL 11 14:28:23,49921874.65147393,-143658825.16222492,9523.220433242619,27.664886581689718,9.671370563036648,0.00029733391485819993,49800538.83539169,-143295165.04728857,878.1817192435265,26.707695837787654,9.301473822077007,-0.09011235467408962,0.0,0.0,0.0,0.0,0.0,0.0,-712421898.0581466,-394451613.5737034,17579161.47743337,6.178188457094033,-10.83207521445897,-0.09324572969968203
2029 DEC 05 13:07:14,2029 DEC 05 16:59:35,Partial,2029 DEC 05 13:07:14,42445049.79651957,141179595.414383,-9731.09068261087,-29.02465762268621,8.470261655839053,-0.0016118543861631807,42335182.45817701,140836450.43014443,-17104.300479836762,-27.995590333849652,8.114374131618334,0.09600105240348134,0.0,0.0,0.0,0.0,0.0,0.0,-620386575.5558258,-523250556.0132864,16055264.72823441,8.274365302641419,-9.387594410265928,-0.14610562753560252
2030 JUN 01 03:35:32,2030 JUN 01 09:21:59,Annular,2030 JUN 01 03:35:32,-51139202.463155165,-142810473.935136,10200.637038812041,27.57172083540473,-10.1594071985099,0.0016180493502626625,-50993936.41585363,-142431168.51272005,14658.080966502428,26.665628726812365,-9.818795068751893,-0.08749233257771749,0.0,0.0,0.0,0.0,0.0,0.0,-476497665.44188213,-650587138.62338,13365180.775624812,10.39449499995714,-7.119644626204771,-0.2029493309446524
